CVE_ART,DESCR,LIN_PROD,CON_SERIE,UNI_MED,UNI_EMP,CTRL_ALM,TIEM_SURT,STOCK_MIN,STOCK_MAX,TIP_COSTEO,NUM_MON,FCH_ULTCOM,COMP_X_REC,FCH_ULTVTA,PEND_SURT,EXIST,COSTO_PROM,ULT_COSTO,CVE_OBS,TIPO_ELE,UNI_ALT,FAC_CONV,APART,CON_LOTE,CON_PEDIMENTO,PESO,VOLUMEN,CVE_ESQIMPU,CVE_BITA,VTAS_ANL_C,VTAS_ANL_M,COMP_ANL_C,COMP_ANL_M,PREFIJO,TALLA,COLOR,CUENT_CONT,CVE_IMAGEN,BLK_CST_EXT,STATUS,MAN_IEPS,APL_MAN_IMP,CUOTA_IEPS,APL_MAN_IEPS,UUID,VERSION_SINC,VERSION_SINC_FECHA_IMG,CVE_PRODSERV,CVE_UNIDAD,EDO_PUBL_ML,CVE_PUBL_ML,CONDICION_ML,TIPO_PUBL_ML,MODO_ENVIO_ML,LARGO_ML,ALTO_ML,ANCHO_ML,ENVIO_ML,CATEG_ML,CAMPOS_CATEG_ML,DISPONIBLE_PUBL,CVE_CATE_ML,LAST_UPDATE_ML,F_CREA_ML,IMAGEN_ML
CORTARTC,CORTANTE ARTICULADO 200MM P/VARILLA,PINZA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,CORTARTC,N,A,N,1,0,C,C932D39E-7DAF-4B21-A27E-9FB107C073A5,2020-06-19 13:14:08,2020-06-19 13:14:07,23101508,H87,,,,,,,,,,,,,,,,
CUBOPLAO,CUBO PLÁSTICO OBRA 15LT,CONST,N,PZ,1,P2-ANA-01,15,0,0,E,1,,40,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,CUBOPLAO,N,A,N,1,0,C,9A7EFA7C-A0C9-4436-8BE4-C3EDDDA81DA8,2020-06-19 13:18:07,2020-06-19 13:18:06,27112200,H87,,,,,,,,,,,,,,,,
CUTTERAL,"CUTTER ""AUTO LOCK"" CUCHILLA 110X18X0.5MM",SERYS,N,PZ,1,P2-ANA-03,15,0,0,E,1,,20,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,CUTTERAL,N,A,N,1,0,C,9796AC67-3876-4A9D-8FA5-25F7AE21C4DB,2020-06-19 13:18:17,2020-06-19 13:18:15,27111500,H87,,,,,,,,,,,,,,,,
CUTTERTL,"CUTTER ""TWIST LOCK""CUCHILLA 110X18X0.5MM",SERYS,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,CUTTERTL,N,A,N,1,0,C,F472BEBA-D277-4BE1-9E38-7D008830522D,2020-06-19 13:18:26,2020-06-19 13:18:24,27111500,H87,,,,,,,,,,,,,,,,
DISFIBABRA,DISCO DE FIBRA ABRASIVO FIBRA VULCANIZAD,LIJAS,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,DISFIBABRA,N,A,N,1,0,C,4AE1EA56-C799-4E38-89BB-ABA61E2C437D,2020-06-19 13:19:02,2020-06-19 13:19:01,49161703,H87,,,,,,,,,,,,,,,,
DISCOSIERRC,DISCO SIERRA CIRCULAR 96 DIENTES,CONST,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,DISCOSIERRC,N,A,N,1,0,C,B38AC7F4-807B-4292-B3B2-BBAF682E1290,2020-06-19 13:18:49,2020-06-19 13:18:41,49161703,H87,,,,,,,,,,,,,,,,
EQPSOLDINVE,EQUIPO SOLDADURA 220V 150A/35%,SOLDA,N,PZ,1,P1-ANA-03,15,0,0,E,1,2020-05-25 00:00:00,5,2020-05-17 00:00:00,1,4,8545,8545,0,P,PZ,1,0,N,N,0,0,1,,-1,-683.9418599999999,5,42725,,,,,EQPSOLDINVE,N,A,N,1,0,C,B4771DA9-BA70-401B-882A-BC4FAF56883B,2020-06-24 20:02:46,2020-06-19 13:19:12,23271700,H87,,,,,,,,,,,,,,,,
EQSOLDINV,EQUIPO SOLDADURA 220V 150A/60%,SOLDA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,EQSOLDINV,N,A,N,1,0,C,9D22500E-C001-41C0-9296-7DDD7531B917,2020-06-19 13:19:43,2020-06-19 13:19:41,23271700,H87,,,,,,,,,,,,,,,,
EQSOLMGAR,EQUIPO SOLDADURA MONOFASICO REG.MAG,SOLDA,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,EQSOLMGAR,N,A,N,1,0,C,4ED60993-2573-4149-8032-1A6EE55B6C10,2020-06-19 13:20:09,2020-06-19 13:20:07,23271700,H87,,,,,,,,,,,,,,,,
ESCEXTMEC,ESCALERA EXT. MECÁNICA ALT. MAX 7.08M,ESCAL,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCEXTMEC,N,A,N,1,0,C,33A71F95-A32B-4C49-98B0-2C9C7603ABF9,2020-06-19 13:20:49,2020-06-19 13:20:48,30191501,H87,,,,,,,,,,,,,,,,
ESCEXT2T,ESCALERA EXTENSIBLE DE DOS TRAMOS 100CM,ESCAL,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCEXT2T,N,A,N,1,0,C,DD147055-D9DB-4338-970B-811860706F5A,2020-06-19 13:20:30,2020-06-19 13:20:29,30191501,H87,,,,,,,,,,,,,,,,
ESCFIJA,ESCALERA FIJA  ALT. MAX. 2.78M,ESCAL,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCFIJA,N,A,N,1,0,C,B5C74594-515C-4C22-9387-71B259F507A4,2020-06-19 13:21:03,2020-06-19 13:21:02,30191501,H87,,,,,,,,,,,,,,,,
ESCTRIPLE,ESCALERA TRIPLE ALT. MAX. 4.96M 5 POS.,ESCAL,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCTRIPLE,N,A,N,1,0,C,320ADDFF-10FF-49B3-929C-5518FC914E13,2020-06-19 13:52:34,2020-06-19 13:52:32,30191501,H87,,,,,,,,,,,,,,,,
ESCOBAPCC,ESCOBA PLUMANDA CON CABO,LIMP,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESCOBAPCC,N,A,N,1,0,C,72A25D59-11C4-4E6C-800F-393F1BD0106C,2020-06-19 13:27:53,2020-06-19 13:27:52,47131604,H87,,,,,,,,,,,,,,,,
ABRAFLEXFIN,ESPONJA SOFTBACK FINO GRANO DE 320 A 400,ABRAS,S,PZ,1,P1-ANA-03,15,0,0,E,1,2020-04-10 00:00:00,0,,0,24,38.25,38.25,0,P,PZ,1,0,S,S,0,0,1,,0,0,24,919.9125,,,,,ABRAFLEXFIN,N,A,N,1,0,C,CAB028E4-C6D3-4182-B436-B43084A1888F,2020-06-21 22:10:11,2020-06-19 12:59:13,47121803,H87,,,,,,,,,,,,,,,,
ABRAFLEXMED,ESPONJA SOFTBACK MEDIO GRANO DE 100 A 18,ABRAS,S,PZ,1,P2-ANA-01,15,0,0,E,1,2020-04-15 00:00:00,0,2020-05-30 00:00:00,0,14,24.999999999999996,27.083333333333332,0,P,PZ,1,0,S,S,0,0,1,,0,0,0,0,,,,,ABRAFLEXMED,N,A,N,1,0,C,008BB3D5-D41E-4EA5-86C8-9189B4BAAFE9,2020-06-22 18:01:55,2020-06-19 12:59:22,47121803,H87,,,,,,,,,,,,,,,,
ESPATULAHAI,ESPÁTULA HOJA DE ACERO INOXIDABLE 8CM,CONST,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,ESPATULAHAI,N,A,N,1,0,C,9311AB8C-8436-4D62-AF9A-0DE2E652F1C6,2020-06-19 13:52:57,2020-06-19 13:52:56,60121231,H87,,,,,,,,,,,,,,,,
FRMIC-WOOD,FORMICA WOOD,MPRI,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,FRMIC-WOOD,N,A,N,1,0,C,B2592BC6-FA73-4927-8377-957B4B6D1021,2020-06-19 13:31:07,2020-06-19 13:31:06,60121231,H87,,,,,,,,,,,,,,,,
GA-70X50-2P2C,GABINETE 70X50 (2 CAJ/2 PTAS),PROD,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GA-70X50-2P2C,N,A,N,1,0,C,F18F903C-0756-48DC-A0A5-303891EA8A43,2020-06-19 13:31:44,2020-06-19 13:31:41,56111906,H87,,,,,,,,,,,,,,,,
GA-70X50-2C,GABINETE 70X50 (2 CAJONES),PROD,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GA-70X50-2C,N,A,N,1,0,C,B5FF4BDD-B61C-4697-AC7D-5E76A7EA8CD8,2020-06-19 13:31:25,2020-06-19 13:31:24,56111906,H87,,,,,,,,,,,,,,,,
GA-70X50-4C1P,GABINETE 70X50 (4 CAJONES/1PTA),PROD,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GA-70X50-4C1P,N,A,N,1,0,C,2BF9F309-1041-4434-8FAE-54FE9591BCF5,2020-06-19 13:32:17,2020-06-19 13:32:15,56111906,H87,,,,,,,,,,,,,,,,
GUANTESLC,GUANTE DE LÁTEX USO DOMESTICO,LIMP,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GUANTESLC,N,A,N,1,0,C,E0BAE665-F2AD-4A46-B129-BB88D0E7904B,2020-06-19 13:32:50,2020-06-19 13:32:49,53102504,H87,,,,,,,,,,,,,,,,
GUANTEPOL,GUANTE POLIAMIDA RECUBIERTO DE LÁTEX RUG,LIMIN,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GUANTEPOL,N,A,N,1,0,C,A58307AF-A3E7-419C-B3E6-F51B2B59A6EB,2020-06-19 13:32:31,2020-06-19 13:32:30,53102504,H87,,,,,,,,,,,,,,,,
GUIACJONGM,GUÍA CAJÓN GRIS MET. 250X1mm-600*1mm,HERRA,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GUIACJONGM,N,A,N,1,0,C,267785E1-0892-4242-BA4D-1614DB669B26,2020-06-19 13:33:05,2020-06-19 13:33:04,27112100,H87,,,,,,,,,,,,,,,,
GUISCJONG,GUÍA CAJÓN MOD. 25  153 x 17 MM,HERRA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,GUISCJONG,N,A,N,1,0,C,44FCFA74-4040-410A-BE6E-A19575BEF454,2020-06-19 13:33:18,2020-06-19 13:33:18,27112100,H87,,,,,,,,,,,,,,,,
HOJA-AGLOMERADO,HOJA DE MADERA AGLOMERADA 1ra,MPRI,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,HOJA-AGLOMERADO,N,A,N,1,0,C,683B06C5-83AB-4EFD-8291-312D84F46D6C,2020-06-19 16:23:32,2020-06-19 16:23:31,30102000,H87,,,,,,,,,,,,,,,,
HOJASIERRB,HOJA DE SIERRA BI-METAL,SERYS,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,HOJASIERRB,N,A,N,1,0,C,2310ED3A-5FA9-447D-B9B2-73D651E9BE6F,2020-06-19 13:33:44,2020-06-19 13:33:43,27112802,H87,,,,,,,,,,,,,,,,
HOJASIERRR,HOJA DE SIERRA DE ACERO RÁPIDO,SERYS,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,HOJASIERRR,N,A,N,1,0,C,5FD14E6F-D200-47F1-8082-EE2C3AE6E16A,2020-06-19 13:33:59,2020-06-19 13:33:58,27112802,H87,,,,,,,,,,,,,,,,
HORMIGONE,HORMIGONERA MEZCLA EN BOMBO 150LT,CONST,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,HORMIGONE,N,A,N,1,0,C,5E11E0A0-0E23-46F8-A2BD-15D92A4056D1,2020-06-19 16:27:44,2020-06-19 16:27:43,27112200,H87,,,,,,,,,,,,,,,,
JGOLLAVNAV,"JGO.  LLAVES NAVAJA(2-2,5-3,4-5,6-8MM)",LLAVE,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAVNAV,N,A,N,1,0,C,EEAD2ECE-407C-40FB-A36D-9970BDDC4DC4,2020-06-19 13:37:13,2020-06-19 13:37:12,46171505,H87,,,,,,,,,,,,,,,,
JGOBROVM,"JGO. 19 BROCAS 1-10x0,50mm",SERYS,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOBROVM,N,A,N,1,0,C,48621450-2713-4CE2-9BC9-AD765F0C0DF6,2020-06-19 13:35:15,2020-06-19 13:35:14,20111614,H87,,,,,,,,,,,,,,,,
JGOTENZAS,"JGO. 3 TENAZA LLAVE, 180,250,300MM",PINZA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOTENZAS,N,A,N,1,0,C,215A64D5-9CD0-414E-8207-2F4F8FF4A328,2020-06-19 13:37:24,2020-06-19 13:37:23,46171505,H87,,,,,,,,,,,,,,,,
LLAVEF2B,JGO. 6 LLAVES FIJAS DE DOS BOCAS,LLAVE,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,LLAVEF2B,N,A,N,1,0,C,ADA39F86-4349-4B6A-A673-A78882225F61,2020-06-19 13:39:50,2020-06-19 13:39:49,46171505,H87,,,,,,,,,,,,,,,,
LLAVECOM,JGO. 7  LLAVES COMBINADAS,LLAVE,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,LLAVECOM,N,A,N,1,0,C,B7E38817-7E78-44A8-A8E4-B4D80A461772,2020-06-19 13:39:35,2020-06-19 13:39:34,46171505,H87,,,,,,,,,,,,,,,,
JGOALICPI,JGO. ALICATES CURVO PARA ARANDELAS INT.,PINZA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOALICPI,N,A,N,1,0,C,53C83708-C7F6-412E-9EEE-F44B146F3410,2020-06-19 13:34:29,2020-06-19 13:34:28,27112137,H87,,,,,,,,,,,,,,,,
JGOALIRPI,JGO. ALICATES REC. PARA ARANDELAS INT.,PINZA,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOALIRPI,N,A,N,1,0,C,3AFA43D4-1A79-42FC-AA6D-775D277CFC46,2020-06-19 13:34:45,2020-06-19 13:34:44,27112137,H87,,,,,,,,,,,,,,,,
BROHORVARM,JGO. BROCA PARA HORMIGÓN 100PZAS,HERRA,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,BROHORVARM,N,A,N,1,0,C,51C01884-7E20-4ADB-ACE5-CAACF91178BE,2020-06-19 13:30:08,2020-06-19 13:30:07,20111614,H87,,,,,,,,,,,,,,,,
JGOBROSDP,JGO. BROCAS DIAMETROS 4-5-6-8MM,HERRA,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOBROSDP,N,A,N,1,0,C,D1ACC7F5-B020-4FA9-9757-3F6CC8FDEF14,2020-06-19 13:35:03,2020-06-19 13:35:01,20111614,H87,,,,,,,,,,,,,,,,
JGOLIJAGUA,JGO. DE LIJAS AL AGUA GRANO 80,LIJAS,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLIJAGUA,N,A,N,1,0,C,FAA0EEF3-F55E-4BA9-AFB0-51DB1DDB30CF,2020-06-19 13:35:47,2020-06-19 13:35:45,11101502,H87,,,,,,,,,,,,,,,,
JGOLLAVESTR,JGO.8 LLAVES ESTRELLA ACOD.(6x7-20x22mm),LLAVE,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAVESTR,N,A,N,1,0,C,29199C6E-258E-468B-8D7B-5D13067388C0,2020-06-19 13:36:34,2020-06-19 13:36:32,46171505,H87,,,,,,,,,,,,,,,,
JGOLLAVFIJP,JGO.8 LLAVES FIJAS PLANAS(6-7 A 20-22MM),LLAVE,N,PZ,1,P2-ANA-01,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAVFIJP,N,A,N,1,0,C,B4A7547F-CBB3-4302-8436-8376DFF3222C,2020-06-19 13:36:50,2020-06-19 13:36:49,46171505,H87,,,,,,,,,,,,,,,,
JGO6DEST,JUEGO DE 6 DESTORNILLADORES,HERRA,N,PZ,1,P1-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGO6DEST,N,A,N,1,0,C,8700D35C-D4F7-4418-B842-E86D84C252FF,2020-06-19 13:34:14,2020-06-19 13:34:12,27111701,H87,,,,,,,,,,,,,,,,
JGOLLAVA1-2,"JUEGO DE LLAVES DE VASO 1/2"" 22 PZAS",LLAVE,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAVA1-2,N,A,N,1,0,C,02FC4C4D-DF82-48A9-B9EC-4A0BD089F671,2020-06-19 13:36:21,2020-06-19 13:36:20,46171505,H87,,,,,,,,,,,,,,,,
JGOLAVMYC,"JUEGO DE LLAVES DE VASO DE 1/2"" Y 1/4""",LLAVE,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLAVMYC,N,A,N,1,0,C,33367FF1-13A5-4B65-AAE0-73A3A1258AE1,2020-06-19 13:35:33,2020-06-19 13:35:32,46171505,H87,,,,,,,,,,,,,,,,
JGOLLAV3-8,"JUEGO DE LLAVES DE VASO DE 3/8"" 61 PZAS",LLAVE,N,PZ,1,P2-ANA-01,15,0,0,E,1,,15,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAV3-8,N,A,N,1,0,C,4616384C-0D53-4462-9E1A-EDFFEA4AAFEA,2020-06-19 13:36:01,2020-06-19 13:36:00,46171505,H87,,,,,,,,,,,,,,,,
JGOLLAVHEX,JUEGO DE LLAVES HEXAGONALES PUNTA BOLA,LLAVE,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOLLAVHEX,N,A,N,1,0,C,6CBB64B3-BCB2-4349-90CB-8618B50E53DD,2020-06-19 13:37:01,2020-06-19 13:37:00,46171505,H87,,,,,,,,,,,,,,,,
JGOVBIH,"JUEGO DE VASOS 1/4"" BIHEXAGONALES",LLAVE,N,PZ,1,P2-ANA-03,15,0,0,E,1,,0,,0,0,0,0,0,P,PZ,1,0,N,N,0,0,1,,0,0,0,0,,,,,JGOVBIH,N,A,N,1,0,C,746593AB-9C3F-426A-91BB-AAAB051CE903,2020-06-19 13:37:37,2020-06-19 13:37:36,46171505,H87,,,,,,,,,,,,,,,,
